round,kmax
1,1.8660364412714978
2,0.0
3,1.6349595705691096
4,1.9727249127341266
5,1.6346729568447824
6,1.2787643787943699
7,0.9128419136365141
8,0.9191296765848528
9,0.8139961772275112
10,0.5110107317643346
11,0.5313138975041131
12,0.39222887257256045
13,0.4374429891708586
14,0.3677120936615175
15,0.36620976595561755
16,0.3857591496762516
17,0.3847927184290512
18,0.2574967805664735
19,0.298468749625558
20,0.27916023719482247
